,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
1421,DuPage County 8428.00,17043842800,2416582,4656,90.89,0.21,3242,2319,96.68,3.32,1790,36.59,63.41,2.56,97.44,23.44,88.39,21.13,7.1000000000000005,71.78,10.95,66.42,83.2
1422,DuPage County 8429.00,17043842900,2267645,5805,83.98,1.71,3424,3138,95.28,4.72,2114,26.16,73.84,3.51,96.49,19.17,89.63,9.42,16.88,73.7,9.93,63.44,86.9
1423,DuPage County 8430.00,17043843000,2783990,4616,77.71,3.94,3017,2525,92.2,7.8,1736,21.26,78.74,11.18,88.82,19.5,76.39,22.93,17.51,59.56,12.3,59.53,82.9
1424,DuPage County 8431.00,17043843100,1705473,4137,84.75,8.07,2980,2192,95.89,4.11,1670,38.08,61.92,8.68,91.32,35.94,67.15,31.560000000000002,30.67,37.78,41.21,28.89,76.9
1425,DuPage County 8432.00,17043843200,2300455,5273,71.82,9.16,3532,2944,97.38,2.62,1901,21.99,78.01,8.55,91.45,35.2,63.34,15.620000000000001,37.25,47.120000000000005,48.56,22.88,76.9
1426,DuPage County 8433.01,17043843301,1768813,3817,82.18,2.91,2401,2128,94.36,5.64,1257,21.08,78.92,8.25,91.75,27.46,75.03,17.5,27.439999999999998,55.05,39.480000000000004,31.45,82.9
1427,DuPage County 8433.02,17043843302,1475197,3382,83.5,5.65,2271,1885,93.26,6.74,1174,29.73,70.27,1.71,98.29,17.68,87.4,12.09,12.45,75.46,37.03,32.85,81.7
1428,DuPage County 8434.00,17043843400,2126440,3504,80.45,2.68,2397,1911,95.13,4.87,1161,23.26,76.74,1.6,98.4,17.89,89.61,11.469999999999999,16.28,72.25999999999999,26.36,41.589999999999996,80.5
1429,DuPage County 8435.00,17043843500,2754477,5396,92.64,1.13,3594,2902,96.28,3.72,2133,29.86,70.14,4.97,95.03,21.63,85.58,21.8,29.72,48.48,25.6,45.8,83.2
1430,DuPage County 8436.01,17043843601,1555556,3576,87.98,1.54,2527,2035,92.58,7.42,1289,28.7,71.3,7.33,92.67,27.1,74.92,22.810000000000002,24.049999999999997,53.14,27.98,35.61,77.5
